TransactionType,PostingDate,TransactionNumber,TransactionLine,FiscalYear,Period,FromCode,ToCode,PODocType,CompanyCode,OPCODesc,CostCentre,CCDesc,PLImpact,PLDesc,BalanceSheetCode,BalanceSheetDesc,U,TransactionQty,TransactionValue,Plant,Store,Part,PartDesc,MtlGroup,MtlGroupDesc,FleetNumber,PO,POLine,BIN,Originator,WorkOrder,POLineType
I,21/01/2026,7601122,10,FY 2026,11,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,2430,2431,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,63012,,,16AE04,SAM.CAMERON,8006785,
I,21/01/2026,7601266,10,FY 2026,11,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,15.500000,3620,3621,280100,Wiper Blade Front 24in (EA),1801,Body - Wipers,53188,,,20EH04,DAVE.FENWICK,8006929,
I,22/01/2026,7601265,10,FY 2026,11,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,15.500000,3620,3621,280100,Wiper Blade Front 24in (EA),1801,Body - Wipers,53212,,,29CB06,JOAN.MBEKI,8006928,
I,24/01/2026,7601123,10,FY 2026,11,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,2430,2431,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,63012,,,03BG01,ELIJAH.CHATTOO,8006786,
I,24/01/2026,7601201,10,FY 2026,11,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,185.000000,2430,2431,290200,Tyre 275/70R22.5 (EA),3502,Chassis - Tyres,63045,,,02HC07,ELIJAH.CHATTOO,8006864,
I,28/01/2026,7601225,10,FY 2026,11,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,3620,3621,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,53201,,,31EH08,JOAN.MBEKI,8006888,
I,02/02/2026,7601153,10,FY 2026,12,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,2430,2431,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,63012,,,11BD07,DAVE.FENWICK,8006816,
I,02/02/2026,7601189,10,FY 2026,12,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,15.500000,2430,2431,280100,Wiper Blade Front 24in (EA),1801,Body - Wipers,63045,,,30HB07,SAM.CAMERON,8006852,
I,02/02/2026,7601291,10,FY 2026,12,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,185.000000,3620,3621,290200,Tyre 275/70R22.5 (EA),3502,Chassis - Tyres,53311,,,05GB08,DAVE.FENWICK,8006954,
I,03/02/2026,7601188,10,FY 2026,12,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,15.500000,2430,2431,280100,Wiper Blade Front 24in (EA),1801,Body - Wipers,63045,,,13ED03,ELIJAH.CHATTOO,8006851,
I,04/02/2026,7601149,10,FY 2026,12,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,2430,2431,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,63012,,,28GF07,DAVE.FENWICK,8006812,
I,05/02/2026,7601126,10,FY 2026,12,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,2430,2431,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,63045,,,06FB07,ELIJAH.CHATTOO,8006789,
I,08/02/2026,7601151,10,FY 2026,12,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,2430,2431,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,63045,,,09DH07,SAM.CAMERON,8006814,
I,08/02/2026,7601228,10,FY 2026,12,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,3620,3621,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,53258,,,25GD08,DAVE.FENWICK,8006891,
I,09/02/2026,7601152,10,FY 2026,12,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,2430,2431,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,63077,,,29DB09,ELIJAH.CHATTOO,8006815,
I,09/02/2026,7601204,10,FY 2026,12,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,185.000000,2430,2431,290200,Tyre 275/70R22.5 (EA),3502,Chassis - Tyres,63077,,,31EB01,ELIJAH.CHATTOO,8006867,
I,10/02/2026,7601229,10,FY 2026,12,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,3620,3621,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,53277,,,04GE02,SAM.CAMERON,8006892,
I,12/02/2026,7601127,10,FY 2026,12,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,2430,2431,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,63058,,,30EA09,ELIJAH.CHATTOO,8006790,
I,12/02/2026,7601205,10,FY 2026,12,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,185.000000,2430,2431,290200,Tyre 275/70R22.5 (EA),3502,Chassis - Tyres,63045,,,02BA04,SAM.CAMERON,8006868,
I,13/02/2026,7601128,10,FY 2026,12,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,2430,2431,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,63012,,,13EF02,ELIJAH.CHATTOO,8006791,
I,13/02/2026,7601203,10,FY 2026,12,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,185.000000,2430,2431,290200,Tyre 275/70R22.5 (EA),3502,Chassis - Tyres,63058,,,21DH06,DAVE.FENWICK,8006866,
I,13/02/2026,7601250,10,FY 2026,12,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,3620,3621,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,53102,,,18CB07,JOAN.MBEKI,8006913,
I,14/02/2026,7601249,10,FY 2026,12,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,3620,3621,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,53277,,,16HH08,SAM.CAMERON,8006912,
I,15/02/2026,7601187,10,FY 2026,12,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,15.500000,2430,2431,280100,Wiper Blade Front 24in (EA),1801,Body - Wipers,63045,,,06HC05,JOAN.MBEKI,8006850,
I,15/02/2026,7601293,10,FY 2026,12,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,185.000000,3620,3621,290200,Tyre 275/70R22.5 (EA),3502,Chassis - Tyres,53244,,,31AA07,DAVE.FENWICK,8006956,
I,19/02/2026,7601125,10,FY 2026,12,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,2430,2431,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,63058,,,28AC06,JOAN.MBEKI,8006788,
I,19/02/2026,7601207,10,FY 2026,12,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,185.000000,2430,2431,290200,Tyre 275/70R22.5 (EA),3502,Chassis - Tyres,63045,,,24HE03,ELIJAH.CHATTOO,8006870,
I,20/02/2026,7601269,10,FY 2026,12,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,15.500000,3620,3621,280100,Wiper Blade Front 24in (EA),1801,Body - Wipers,53255,,,15HE06,SAM.CAMERON,8006932,
I,21/02/2026,7601230,10,FY 2026,12,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,3620,3621,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,53102,,,11EB04,SAM.CAMERON,8006893,
I,21/02/2026,7601248,10,FY 2026,12,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,3620,3621,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,53277,,,19CH09,JOAN.MBEKI,8006911,
I,23/02/2026,7601268,10,FY 2026,12,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,15.500000,3620,3621,280100,Wiper Blade Front 24in (EA),1801,Body - Wipers,53144,,,18AG01,ELIJAH.CHATTOO,8006931,
I,25/02/2026,7601292,10,FY 2026,12,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,185.000000,3620,3621,290200,Tyre 275/70R22.5 (EA),3502,Chassis - Tyres,53177,,,15BH01,JOAN.MBEKI,8006955,
I,27/02/2026,7601206,10,FY 2026,12,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,185.000000,2430,2431,290200,Tyre 275/70R22.5 (EA),3502,Chassis - Tyres,63012,,,09CD08,ELIJAH.CHATTOO,8006869,
I,28/02/2026,7601150,10,FY 2026,12,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,2430,2431,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,63012,,,26BA06,ELIJAH.CHATTOO,8006813,
I,28/02/2026,7601267,10,FY 2026,12,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,15.500000,3620,3621,280100,Wiper Blade Front 24in (EA),1801,Body - Wipers,53199,,,25BD06,JOAN.MBEKI,8006930,
I,02/03/2026,7601254,10,FY 2027,01,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,3620,3621,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,53177,,,25HG03,DAVE.FENWICK,8006917,
I,05/03/2026,7601156,10,FY 2027,01,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,2430,2431,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,63045,,,04ED09,ELIJAH.CHATTOO,8006819,
I,09/03/2026,7601130,10,FY 2027,01,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,2430,2431,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,63077,,,24FC06,SAM.CAMERON,8006793,
I,10/03/2026,7601232,10,FY 2027,01,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,3620,3621,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,53201,,,19DE08,ELIJAH.CHATTOO,8006895,
I,13/03/2026,7601155,10,FY 2027,01,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,2430,2431,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,63058,,,28HE09,DAVE.FENWICK,8006818,
I,13/03/2026,7601209,10,FY 2027,01,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,185.000000,2430,2431,290200,Tyre 275/70R22.5 (EA),3502,Chassis - Tyres,63045,,,07BD05,ELIJAH.CHATTOO,8006872,
I,13/03/2026,7601296,10,FY 2027,01,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,185.000000,3620,3621,290200,Tyre 275/70R22.5 (EA),3502,Chassis - Tyres,53233,,,28EH02,ELIJAH.CHATTOO,8006959,
I,15/03/2026,7601253,10,FY 2027,01,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,3620,3621,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,53177,,,25DD04,DAVE.FENWICK,8006916,
I,16/03/2026,7601154,10,FY 2027,01,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,2430,2431,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,63045,,,11GA07,ELIJAH.CHATTOO,8006817,
I,18/03/2026,7601231,10,FY 2027,01,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,3620,3621,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,53258,,,27CA08,DAVE.FENWICK,8006894,
I,20/03/2026,7601295,10,FY 2027,01,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,185.000000,3620,3621,290200,Tyre 275/70R22.5 (EA),3502,Chassis - Tyres,53311,,,18BC09,JOAN.MBEKI,8006958,
I,21/03/2026,7601234,10,FY 2027,01,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,3620,3621,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,53311,,,05EC01,SAM.CAMERON,8006897,
I,21/03/2026,7601270,10,FY 2027,01,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,15.500000,3620,3621,280100,Wiper Blade Front 24in (EA),1801,Body - Wipers,53102,,,07EC01,JOAN.MBEKI,8006933,
I,22/03/2026,7601129,10,FY 2027,01,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,2430,2431,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,63045,,,15EB02,DAVE.FENWICK,8006792,
I,22/03/2026,7601131,10,FY 2027,01,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,2430,2431,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,63058,,,16BC03,DAVE.FENWICK,8006794,
I,22/03/2026,7601233,10,FY 2027,01,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,302.390000,3620,3621,274016-G,Battery 12v 170Ah Type 629 QCF (EA),1402,Electrical System - Batteries,53102,,,28ED02,SAM.CAMERON,8006896,
I,22/03/2026,7601294,10,FY 2027,01,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,185.000000,3620,3621,290200,Tyre 275/70R22.5 (EA),3502,Chassis - Tyres,53258,,,05HH02,JOAN.MBEKI,8006957,
I,23/03/2026,7601190,10,FY 2027,01,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,15.500000,2430,2431,280100,Wiper Blade Front 24in (EA),1801,Body - Wipers,63077,,,16HG03,ELIJAH.CHATTOO,8006853,
I,24/03/2026,7601157,10,FY 2027,01,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,2430,2431,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,63058,,,31AA09,SAM.CAMERON,8006820,
I,25/03/2026,7601208,10,FY 2027,01,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,185.000000,2430,2431,290200,Tyre 275/70R22.5 (EA),3502,Chassis - Tyres,63045,,,02EB05,DAVE.FENWICK,8006871,
I,26/03/2026,7601271,10,FY 2027,01,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,15.500000,3620,3621,280100,Wiper Blade Front 24in (EA),1801,Body - Wipers,53199,,,09AF02,JOAN.MBEKI,8006934,
I,28/03/2026,7601252,10,FY 2027,01,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,3620,3621,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,53311,,,23HH06,DAVE.FENWICK,8006915,
I,29/03/2026,7601191,10,FY 2027,01,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,15.500000,2430,2431,280100,Wiper Blade Front 24in (EA),1801,Body - Wipers,63012,,,12GD09,DAVE.FENWICK,8006854,
I,30/03/2026,7601251,10,FY 2027,01,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,3620,3621,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,53266,,,19EA05,DAVE.FENWICK,8006914,
I,01/04/2026,7601211,10,FY 2027,02,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,185.000000,2430,2431,290200,Tyre 275/70R22.5 (EA),3502,Chassis - Tyres,63077,,,28HB06,DAVE.FENWICK,8006874,
I,01/04/2026,7601256,10,FY 2027,02,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,3620,3621,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,53255,,,10CG02,DAVE.FENWICK,8006919,
I,02/04/2026,7601158,10,FY 2027,02,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,2430,2431,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,63012,,,05CB04,DAVE.FENWICK,8006821,
I,02/04/2026,7601192,10,FY 2027,02,STOR,EVNT,,1073,First South Yorkshire Ltd,2432,Olive Grove ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,15.500000,2430,2431,280100,Wiper Blade Front 24in (EA),1801,Body - Wipers,63045,,,09BH08,JOAN.MBEKI,8006855,
I,02/04/2026,7601255,10,FY 2027,02,STOR,EVNT,,1074,First Glasgow (No.2) Limited,3622,Blantyre ENG,331010,Stores Materials,650110,Stock Engineering Cost,EA,1,21.000000,3620,3621,275603,Filter Air Dryer Wabco Silver QCIM (EA),2903,Filters & Elements - Air,53311,,,29FB02,DAVE.FENWICK,8006918,
